Date,Place3,Date,Place4
3/24/2000,19.05858136,3/24/2000,18.33682365
3/25/2000,20.51826211,3/25/2000,19.03642445
3/26/2000,23.2538126,3/26/2000,20.46596546
3/27/2000,24.68739948,3/27/2000,21.600103
3/28/2000,25.22696362,3/28/2000,22.72412967
3/29/2000,24.95207691,3/29/2000,23.60675239
3/30/2000,23.85009422,3/30/2000,25.04515801
3/31/2000,23.74340038,3/31/2000,25.27303162
4/1/2000,22.07680454,4/1/2000,25.85268745
4/2/2000,22.08925037,4/2/2000,23.66366673
4/3/2000,24.32306729,4/3/2000,22.87436256
4/4/2000,25.05826721,4/4/2000,24.04981212
4/5/2000,23.44258346,4/5/2000,24.55783538
4/6/2000,23.59784794,4/6/2000,24.2151907
4/7/2000,24.35939141,4/7/2000,23.69184323
4/8/2000,23.81076775,4/8/2000,25.36795521
4/9/2000,25.40705471,4/9/2000,25.7030571
4/10/2000,25.98329964,4/10/2000,24.95397663
4/11/2000,27.05016881,4/11/2000,25.48520165
4/12/2000,28.67530021,4/12/2000,26.35029602
4/13/2000,28.84361687,4/13/2000,27.54443779
4/14/2000,28.01675797,4/14/2000,28.48337231
4/15/2000,26.65370655,4/15/2000,27.04810811
4/16/2000,27.78862705,4/16/2000,26.9620388
4/17/2000,28.58352585,4/17/2000,27.73622131
4/18/2000,30.09837989,4/18/2000,28.61461945
4/19/2000,30.29828949,4/19/2000,29.51191063
4/20/2000,29.88846455,4/20/2000,30.38074035
4/21/2000,31.10841407,4/21/2000,29.70228653
4/22/2000,30.69412022,4/22/2000,29.1613163
4/23/2000,28.47898254,4/23/2000,28.16249771
4/24/2000,28.22291355,4/24/2000,28.07462597
4/25/2000,30.0061901,4/25/2000,28.79755211
4/26/2000,31.63243141,4/26/2000,29.10971489
4/27/2000,29.50532093,4/27/2000,29.15051537
4/28/2000,28.28689881,4/28/2000,28.63728905
4/29/2000,28.09805031,4/29/2000,29.00255356
4/30/2000,29.74719219,4/30/2000,29.08408928
5/1/2000,29.54811134,5/1/2000,29.12908172
5/2/2000,30.67799854,5/2/2000,29.62683105
5/3/2000,34.81941395,5/3/2000,29.09472885
5/4/2000,35.52581978,5/4/2000,29.9023922
5/5/2000,33.31061707,5/5/2000,28.53241596
5/6/2000,32.49316178,5/6/2000,27.24813995
5/7/2000,32.57790546,5/7/2000,26.05582466
5/8/2000,32.14739342,5/8/2000,25.65701752
5/9/2000,33.92747459,5/9/2000,28.44101143
5/10/2000,35.68084717,5/10/2000,29.75345879
5/11/2000,36.50890617,5/11/2000,30.86403923
5/12/2000,35.2291214,5/12/2000,31.27301903
5/13/2000,32.15349255,5/13/2000,27.7756794
5/14/2000,31.721558,5/14/2000,27.80987778
5/15/2000,34.74782104,5/15/2000,29.36019287
5/16/2000,33.94817848,5/16/2000,30.18837318
5/17/2000,35.5433178,5/17/2000,30.66416359
5/18/2000,35.08059387,5/18/2000,31.34372978
5/19/2000,34.50777512,5/19/2000,31.58347206
5/20/2000,34.4007267,5/20/2000,31.59815254
5/21/2000,35.27305107,5/21/2000,30.01249238
5/22/2000,36.41093407,5/22/2000,29.76875038
5/23/2000,34.79478035,5/23/2000,30.34667588
5/24/2000,34.66051349,5/24/2000,31.45171852
5/25/2000,34.9867466,5/25/2000,32.20681915
5/26/2000,34.11359768,5/26/2000,32.38385353
5/27/2000,36.29457855,5/27/2000,32.43329888
5/28/2000,35.95260353,5/28/2000,32.50850716
5/29/2000,36.91598472,5/29/2000,32.29132805
5/30/2000,35.61516877,5/30/2000,32.3136921
5/31/2000,32.73044034,5/31/2000,30.04432869
6/1/2000,32.68511124,6/1/2000,29.15420952
6/2/2000,33.59797477,6/2/2000,29.6834999
6/3/2000,34.08887596,6/3/2000,30.64176521
6/4/2000,33.19405594,6/4/2000,29.34675178
6/5/2000,32.04010582,6/5/2000,27.84030476
6/6/2000,33.96864319,6/6/2000,27.1063528
6/7/2000,34.61795597,6/7/2000,24.90543594
6/8/2000,32.23012715,6/8/2000,23.20515919
6/9/2000,31.09440098,6/9/2000,25.41929569
6/10/2000,30.37897548,6/10/2000,27.168429
6/11/2000,31.25206986,6/11/2000,27.26894875
6/12/2000,33.82669736,6/12/2000,28.97071037
6/13/2000,36.07178726,6/13/2000,29.61120643
6/14/2000,36.96010743,6/14/2000,29.97826309
6/15/2000,36.63818169,6/15/2000,30.83864365
6/16/2000,37.08421746,6/16/2000,30.17507972
6/17/2000,37.25798073,6/17/2000,29.5152546
6/18/2000,36.37594643,6/18/2000,30.14956055
6/19/2000,36.49188652,6/19/2000,29.89403229
6/20/2000,34.79703579,6/20/2000,29.20647011
6/21/2000,33.32762623,6/21/2000,29.6925087
6/22/2000,32.47376499,6/22/2000,30.26823349
6/23/2000,33.54346027,6/23/2000,28.71778622
6/24/2000,33.58070755,6/24/2000,28.55966549
6/25/2000,34.91523342,6/25/2000,29.10780601
6/26/2000,35.20845947,6/26/2000,29.77315521
6/27/2000,35.07073078,6/27/2000,29.58148156
6/28/2000,34.75764427,6/28/2000,29.69948502
6/29/2000,33.59945183,6/29/2000,29.48903503
6/30/2000,32.17943955,6/30/2000,28.53494282
7/1/2000,31.26421775,7/1/2000,27.74231701
7/2/2000,31.23008614,7/2/2000,27.33319473
7/3/2000,31.42418824,7/3/2000,27.64740715
7/4/2000,33.97964974,7/4/2000,28.28331127
7/5/2000,34.93008575,7/5/2000,30.02459793
7/6/2000,37.04781571,7/6/2000,30.83051033
7/7/2000,35.47979622,7/7/2000,29.81196442
7/8/2000,35.00360679,7/8/2000,28.24769497
7/9/2000,32.4214241,7/9/2000,27.79085941
7/10/2000,32.43830528,7/10/2000,27.91428223
7/11/2000,31.6956131,7/11/2000,26.76922187
7/12/2000,31.24725056,7/12/2000,26.74994774
7/13/2000,31.33436508,7/13/2000,26.83011532
7/14/2000,32.64296284,7/14/2000,27.28316746
7/15/2000,33.02745133,7/15/2000,27.02033844
7/16/2000,32.98724575,7/16/2000,26.16346664
7/17/2000,32.47553158,7/17/2000,26.66495648
7/18/2000,31.8230339,7/18/2000,26.16791439
7/19/2000,32.42835827,7/19/2000,26.77670288
7/20/2000,31.9222187,7/20/2000,26.69093399
7/21/2000,32.08396415,7/21/2000,26.23602963
7/22/2000,30.07076912,7/22/2000,25.06452999
7/23/2000,28.82821904,7/23/2000,24.91410141
7/24/2000,29.73297977,7/24/2000,25.16365242
7/25/2000,29.94439945,7/25/2000,26.02654438
7/26/2000,31.18379612,7/26/2000,27.14310723
7/27/2000,32.9554409,7/27/2000,27.21358624
7/28/2000,33.19632187,7/28/2000,26.70570545
7/29/2000,32.42670288,7/29/2000,27.70513516
7/30/2000,32.38833523,7/30/2000,27.62371445
7/31/2000,31.87098141,7/31/2000,27.37615471
8/1/2000,29.51107598,8/1/2000,27.44269409
8/2/2000,28.99920025,8/2/2000,27.90844231
8/3/2000,28.85116787,8/3/2000,27.61931133
8/4/2000,30.46212883,8/4/2000,27.55912685
8/5/2000,31.71734715,8/5/2000,27.92210312
8/6/2000,32.7379158,8/6/2000,28.82915497
8/7/2000,32.5453537,8/7/2000,29.40329361
8/8/2000,33.33353653,8/8/2000,29.61202011
8/9/2000,33.32246074,8/9/2000,29.09328346
8/10/2000,30.58878593,8/10/2000,27.26629658
8/11/2000,30.62193775,8/11/2000,26.21150437
8/12/2000,31.39744187,8/12/2000,26.47942314
8/13/2000,32.728829,8/13/2000,27.46170387
8/14/2000,32.44098453,8/14/2000,27.22938423
8/15/2000,31.25149498,8/15/2000,26.71922379
8/16/2000,31.37863255,8/16/2000,25.25201168
8/17/2000,32.23347359,8/17/2000,26.14142704
8/18/2000,31.21318817,8/18/2000,26.73197308
8/19/2000,31.79110108,8/19/2000,26.42845173
8/20/2000,32.58524666,8/20/2000,25.70287857
8/21/2000,30.5989029,8/21/2000,26.09791088
8/22/2000,30.29655017,8/22/2000,25.9360136
8/23/2000,31.22460384,8/23/2000,26.08823605
8/24/2000,31.73758946,8/24/2000,26.99592991
8/25/2000,32.87665997,8/25/2000,27.35887528
8/26/2000,33.65057373,8/26/2000,27.6036644
8/27/2000,33.96433792,8/27/2000,28.1865303
8/28/2000,33.85796299,8/28/2000,28.31162338
8/29/2000,32.75249329,8/29/2000,26.72978783
8/30/2000,31.94012165,8/30/2000,26.99101181
8/31/2000,30.33836289,8/31/2000,26.95697651
9/1/2000,29.81947956,9/1/2000,26.87936153
9/2/2000,30.54728375,9/2/2000,27.44232502
9/3/2000,32.13496437,9/3/2000,27.19879761
9/4/2000,33.22914848,9/4/2000,27.36207161
9/5/2000,33.06691418,9/5/2000,27.58711624
9/6/2000,31.83058491,9/6/2000,26.7879467
9/7/2000,30.93890152,9/7/2000,26.65182438
9/8/2000,30.33394851,9/8/2000,27.01719189
9/9/2000,29.04694844,9/9/2000,26.8507267
9/10/2000,27.99102077,9/10/2000,26.51780834
9/11/2000,29.46153813,9/11/2000,26.51691056
9/12/2000,30.62300568,9/12/2000,26.62670002
9/13/2000,30.54362889,9/13/2000,27.11576328
9/14/2000,30.75537796,9/14/2000,27.43394966
9/15/2000,30.62993985,9/15/2000,27.96067886
9/16/2000,31.88440914,9/16/2000,27.49635373
9/17/2000,32.7999939,9/17/2000,27.80861091
9/18/2000,31.99919529,9/18/2000,27.47732849
9/19/2000,31.99610062,9/19/2000,26.60781899
9/20/2000,30.01826667,9/20/2000,26.04710255
9/21/2000,25.94683075,9/21/2000,25.75136776
9/22/2000,26.03985768,9/22/2000,25.80474072
9/23/2000,27.09873104,9/23/2000,26.01997147
9/24/2000,27.79097481,9/24/2000,26.43555679
9/25/2000,27.46920642,9/25/2000,26.56549416
9/26/2000,26.33477268,9/26/2000,25.86834812
9/27/2000,25.28671284,9/27/2000,25.00074406
9/28/2000,25.81382694,9/28/2000,25.56747723
9/29/2000,26.55935363,9/29/2000,24.99933815
9/30/2000,27.30768127,9/30/2000,25.3569294
10/1/2000,27.99047108,10/1/2000,26.22769375
10/2/2000,28.15355091,10/2/2000,26.29467945
10/3/2000,27.91168805,10/3/2000,26.1106739
10/4/2000,28.66148223,10/4/2000,26.42809296
10/5/2000,29.68159351,10/5/2000,26.73258591
10/6/2000,29.42615184,10/6/2000,26.84678536
10/7/2000,28.47821045,10/7/2000,26.67423821
10/8/2000,27.24648018,10/8/2000,26.61271648
10/9/2000,27.15501004,10/9/2000,26.39839897
10/10/2000,26.53015252,10/10/2000,26.36333885
10/11/2000,25.21141891,10/11/2000,25.81223202
10/12/2000,26.24999752,10/12/2000,24.75831699
10/13/2000,25.89517803,10/13/2000,24.37235356
10/14/2000,25.12532196,10/14/2000,24.40548763
10/15/2000,25.94275837,10/15/2000,23.92224884
10/16/2000,24.75232257,10/16/2000,23.25660267
10/17/2000,27.3609684,10/17/2000,23.97740708
10/18/2000,26.74730626,10/18/2000,23.94551411
10/19/2000,27.33820419,10/19/2000,24.30552407
10/20/2000,27.29612293,10/20/2000,24.60570144
10/21/2000,26.15216599,10/21/2000,24.68363571
10/22/2000,26.06164417,10/22/2000,24.56556701
10/23/2000,25.51526966,10/23/2000,24.48818378
10/24/2000,25.09686985,10/24/2000,24.25735417
10/25/2000,24.81636028,10/25/2000,24.03250866
10/26/2000,24.43359013,10/26/2000,23.15433197
10/27/2000,24.70888805,10/27/2000,23.06171379
10/28/2000,24.88671112,10/28/2000,22.90968704
10/29/2000,25.06141644,10/29/2000,22.83804589
10/30/2000,24.09601898,10/30/2000,22.84898758
10/31/2000,23.71616936,10/31/2000,22.57232094
11/1/2000,23.37967663,11/1/2000,22.38697986
11/2/2000,23.14721527,11/2/2000,22.59949322
11/3/2000,22.41498413,11/3/2000,21.89736729
11/4/2000,22.98161984,11/4/2000,21.17095127
11/5/2000,23.09587937,11/5/2000,21.47712307
11/6/2000,22.51596699,11/6/2000,21.25847797
11/7/2000,22.30276814,11/7/2000,21.40695648
11/8/2000,21.57811737,11/8/2000,21.9435751
11/9/2000,20.79647427,11/9/2000,22.01489697
11/10/2000,20.76135654,11/10/2000,21.29634647
11/11/2000,20.45576438,11/11/2000,19.62810517
11/12/2000,20.70402012,11/12/2000,19.46676922
11/13/2000,19.88125877,11/13/2000,20.48657684
11/14/2000,16.71543541,11/14/2000,20.70331821
11/15/2000,17.22207851,11/15/2000,19.02789288
11/16/2000,18.37317944,11/16/2000,18.37221852
11/17/2000,17.9007246,11/17/2000,19.34797783
11/18/2000,17.90069942,11/18/2000,19.66746884
11/19/2000,17.25176115,11/19/2000,18.98478698
11/20/2000,16.72598562,11/20/2000,18.07550698
11/21/2000,17.7805254,11/21/2000,17.96796627
11/22/2000,18.27426528,11/22/2000,18.53550282
11/23/2000,17.74298439,11/23/2000,18.98042679
11/24/2000,16.44851723,11/24/2000,18.95089244
11/25/2000,15.65944376,11/25/2000,17.4779314
11/26/2000,16.19349309,11/26/2000,16.41680317
11/27/2000,14.90094777,11/27/2000,16.67189541
11/28/2000,14.32878256,11/28/2000,15.04767151
11/29/2000,13.90746851,11/29/2000,14.97806797
11/30/2000,13.05353804,11/30/2000,14.78112945
12/1/2000,12.4454998,12/1/2000,13.58800736
12/2/2000,13.02323541,12/2/2000,12.83888741
12/3/2000,13.95474988,12/3/2000,12.88626337
12/4/2000,13.95467959,12/4/2000,13.8688222
12/5/2000,14.49742652,12/5/2000,14.39818468
12/6/2000,14.24845114,12/6/2000,14.32297812
12/7/2000,14.09397765,12/7/2000,14.10814133
12/8/2000,13.42439423,12/8/2000,15.22328625
12/9/2000,13.51180354,12/9/2000,15.2266388
12/10/2000,13.16200476,12/10/2000,13.70992641
12/11/2000,12.49466419,12/11/2000,13.3456584
12/12/2000,12.76231251,12/12/2000,13.40376749
12/13/2000,14.01574745,12/13/2000,13.64197941
12/14/2000,14.74717817,12/14/2000,14.47671032
12/15/2000,15.65698795,12/15/2000,14.96815109
12/16/2000,16.07151366,12/16/2000,16.02230988
12/17/2000,14.61509647,12/17/2000,16.83621311
12/18/2000,12.50097732,12/18/2000,16.47995567
12/19/2000,12.86104727,12/19/2000,14.15351744
12/20/2000,13.23999471,12/20/2000,12.58564568
12/21/2000,13.80323782,12/21/2000,12.82865296
12/22/2000,13.87662983,12/22/2000,12.49287043
12/23/2000,14.47593269,12/23/2000,12.53175688
12/24/2000,13.72528772,12/24/2000,13.03278752
12/25/2000,13.5883007,12/25/2000,12.9103466
12/26/2000,13.34982938,12/26/2000,12.57469539
12/27/2000,14.54225417,12/27/2000,13.1879797
12/28/2000,14.36410589,12/28/2000,13.54926939
12/29/2000,12.62756729,12/29/2000,14.04456568
12/30/2000,13.76244478,12/30/2000,13.94052171
12/31/2000,14.21536751,12/31/2000,14.06713486
